#     WAVE         LUM1         LUM10        LUM100      LUM1000      LUM5000     LUM10000
      3400.00    0.0312783    0.0120089   0.00104499  0.000109306  1.43200e-05  6.78195e-06
      3400.78    0.0311214    0.0120520   0.00102177  0.000107551  1.42260e-05  6.75832e-06
      3401.57    0.0312522    0.0122631   0.00101318  0.000103973  1.39435e-05  6.62804e-06
      3402.35    0.0313686    0.0123845   0.00101097  9.99131e-05  1.35252e-05  6.41025e-06
      3403.13    0.0313466    0.0123375   0.00101234  9.61526e-05  1.30177e-05  6.15075e-06
      3403.92    0.0312484    0.0122520   0.00102121  9.31796e-05  1.24890e-05  5.96055e-06
      3404.70    0.0312424    0.0121545   0.00102427  9.16673e-05  1.21851e-05  5.81448e-06
      3405.48    0.0312688    0.0120859   0.00102324  9.14053e-05  1.20233e-05  5.67934e-06
      3406.27    0.0312632    0.0120198   0.00101669  9.15303e-05  1.19122e-05  5.55208e-06
      3407.05    0.0311945    0.0119456   0.00100434  9.12223e-05  1.17664e-05  5.42870e-06
      3407.84    0.0312586    0.0120154  0.000994776  9.04302e-05  1.15555e-05  5.28088e-06
      3408.62    0.0313551    0.0121306   0.00100368  8.96625e-05  1.15046e-05  5.26584e-06
      3409.41    0.0314347    0.0122414   0.00101299  8.95476e-05  1.15691e-05  5.31956e-06
      3410.19    0.0315017    0.0123201   0.00101787  9.05612e-05  1.17476e-05  5.43773e-06
      3410.98    0.0315867    0.0123440   0.00101882  9.31465e-05  1.20512e-05  5.63880e-06
      3411.76    0.0312670    0.0121120   0.00102127  9.48737e-05  1.21509e-05  5.66364e-06
      3412.55    0.0311719    0.0120566   0.00102268  9.48699e-05  1.18209e-05  5.43086e-06
      3413.33    0.0312476    0.0121019   0.00102824  9.34673e-05  1.12878e-05  5.09239e-06
      3414.12    0.0314395    0.0121998   0.00103730  9.12632e-05  1.07312e-05  4.75248e-06
      3414.91    0.0316883    0.0123503   0.00103715  8.95266e-05  1.03007e-05  4.45848e-06
      3415.69    0.0318489    0.0124475   0.00102647  8.96640e-05  1.04329e-05  4.58580e-06
      3416.48    0.0318983    0.0125153   0.00102162  9.11013e-05  1.08185e-05  4.84445e-06
      3417.27    0.0319034    0.0125624   0.00102223  9.36616e-05  1.14542e-05  5.21943e-06
      3418.05    0.0319284    0.0125946   0.00102594  9.71004e-05  1.23113e-05  5.69452e-06
      3418.84    0.0319096    0.0126056   0.00103364  0.000100654  1.29528e-05  6.01356e-06
      3419.63    0.0318508    0.0126144   0.00104048  0.000103699  1.35209e-05  6.32917e-06
      3420.42    0.0318080    0.0126156   0.00104419  0.000105082  1.37960e-05  6.49795e-06
      3421.20    0.0318016    0.0126040   0.00104478  0.000104390  1.37275e-05  6.49259e-06
      3421.99    0.0318386    0.0125755   0.00104344  0.000101599  1.33494e-05  6.34030e-06
      3422.78    0.0319356    0.0125551   0.00103968  9.78838e-05  1.26133e-05  5.89664e-06
      3423.57    0.0320061    0.0124927   0.00103577  9.51935e-05  1.21967e-05  5.64732e-06
      3424.36    0.0320276    0.0124419   0.00103191  9.36831e-05  1.20047e-05  5.54406e-06
      3425.14    0.0319836    0.0124165   0.00102791  9.33642e-05  1.19848e-05  5.54507e-06
      3425.93    0.0318575    0.0123790   0.00102305  9.41526e-05  1.21466e-05  5.61484e-06
      3426.72    0.0318098    0.0124591   0.00102239  9.49574e-05  1.22306e-05  5.68408e-06
      3427.51    0.0318267    0.0125354   0.00102537  9.64301e-05  1.24092e-05  5.81293e-06
      3428.30    0.0319024    0.0125695   0.00103095  9.91438e-05  1.27649e-05  6.01041e-06
      3429.09    0.0320024    0.0125437   0.00103776  0.000103284  1.33388e-05  6.29004e-06
      3429.88    0.0319715    0.0124824   0.00104309  0.000107790  1.40825e-05  6.71632e-06
      3430.67    0.0317663    0.0123382   0.00103538  0.000109079  1.42734e-05  6.73779e-06
      3431.46    0.0316790    0.0123412   0.00102647  0.000107752  1.39648e-05  6.51945e-06
      3432.25    0.0316991    0.0124420   0.00102072  0.000104153  1.32669e-05  6.14507e-06
      3433.04    0.0317468    0.0125307   0.00102039  9.90728e-05  1.23889e-05  5.71540e-06
      3433.83    0.0318292    0.0126483   0.00102200  9.66940e-05  1.20707e-05  5.51970e-06
      3434.62    0.0319291    0.0126818   0.00102867  9.78705e-05  1.23371e-05  5.67249e-06
      3435.41    0.0320086    0.0126229   0.00103135  9.99742e-05  1.27024e-05  5.85116e-06
      3436.20    0.0320434    0.0125218   0.00102954  0.000101714  1.29445e-05  5.93925e-06
      3436.99    0.0320142    0.0124720   0.00102766  0.000102289  1.29465e-05  5.91428e-06
      3437.79    0.0318746    0.0124161   0.00103207  0.000100537  1.24449e-05  5.63992e-06
      3438.58    0.0316942    0.0124809   0.00102982  9.76419e-05  1.17839e-05  5.28406e-06
      3439.37    0.0315086    0.0125244   0.00102330  9.41183e-05  1.08514e-05  4.77691e-06
      3440.16    0.0312919    0.0124737   0.00101424  9.02548e-05  9.75614e-06  4.19120e-06
      3440.95    0.0309323    0.0123224   0.00100378  8.60495e-05  8.88144e-06  3.77999e-06
      3441.75    0.0308766    0.0122408  0.000994582  8.17163e-05  8.10550e-06  3.41222e-06
      3442.54    0.0309013    0.0121831  0.000993264  7.91917e-05  7.84539e-06  3.32927e-06
      3443.33    0.0310566    0.0122136  0.000993264  7.84072e-05  8.01601e-06  3.45007e-06
      3444.12    0.0313059    0.0123295  0.000990046  7.91979e-05  8.50652e-06  3.69057e-06
      3444.92    0.0313838    0.0123644  0.000984240  8.15638e-05  9.23357e-06  4.00314e-06
      3445.71    0.0311269    0.0123033  0.000991354  8.47511e-05  9.78491e-06  4.26099e-06
      3446.50    0.0309324    0.0122542   0.00100262  8.83345e-05  1.03207e-05  4.55469e-06
      3447.30    0.0308295    0.0122336   0.00101610  9.20743e-05  1.08188e-05  4.84800e-06
      3448.09    0.0308316    0.0122547   0.00103044  9.57269e-05  1.12855e-05  5.11907e-06
      3448.89    0.0310980    0.0123751   0.00104443  9.91318e-05  1.19613e-05  5.48703e-06
      3449.68    0.0313128    0.0124391   0.00105286  0.000101746  1.26674e-05  5.82928e-06
      3450.48    0.0310823    0.0123247   0.00104577  0.000103139  1.30720e-05  6.04047e-06
      3451.27    0.0306040    0.0121146   0.00102506  0.000102597  1.30012e-05  6.02651e-06
      3452.06    0.0301918    0.0119274  0.000997955  9.97212e-05  1.24235e-05  5.75874e-06
      3452.86    0.0299244    0.0117658  0.000985813  9.59861e-05  1.18957e-05  5.57571e-06
      3453.65    0.0298123    0.0116852  0.000977341  9.37475e-05  1.17174e-05  5.51082e-06
      3454.45    0.0297852    0.0116551  0.000978528  9.32680e-05  1.19716e-05  5.62103e-06
      3455.25    0.0297826    0.0116528  0.000983817  9.40076e-05  1.24238e-05  5.82354e-06
      3456.04    0.0297618    0.0116614  0.000983698  9.49885e-05  1.26980e-05  5.96623e-06
      3456.84    0.0299532    0.0117570  0.000978793  9.49004e-05  1.24156e-05  5.78816e-06
      3457.63    0.0301056    0.0118351  0.000976037  9.34684e-05  1.19294e-05  5.53440e-06
      3458.43    0.0300854    0.0118421  0.000973630  9.11299e-05  1.12247e-05  5.16212e-06
      3459.23    0.0299414    0.0118053  0.000972193  8.83929e-05  1.05276e-05  4.78008e-06
      3460.02    0.0298224    0.0117933  0.000973330  8.58486e-05  1.01778e-05  4.56908e-06
      3460.82    0.0297561    0.0117484  0.000973405  8.40855e-05  9.95177e-06  4.41919e-06
      3461.62    0.0297296    0.0117171  0.000973523  8.39587e-05  1.00052e-05  4.48187e-06
      3462.41    0.0297909    0.0116923  0.000975333  8.55437e-05  1.03428e-05  4.68206e-06
      3463.21    0.0300242    0.0116755  0.000979011  8.85409e-05  1.09336e-05  5.00281e-06
      3464.01    0.0305205    0.0116737  0.000983527  9.22771e-05  1.16980e-05  5.44992e-06
      3464.81    0.0303256    0.0116582  0.000979997  9.38479e-05  1.19010e-05  5.50942e-06
      3465.60    0.0303689    0.0117658  0.000975197  9.39652e-05  1.18298e-05  5.42912e-06
      3466.40    0.0304805    0.0118875  0.000972664  9.34850e-05  1.16914e-05  5.34936e-06
      3467.20    0.0305358    0.0119582  0.000972483  9.31879e-05  1.16433e-05  5.34896e-06
      3468.00    0.0304422    0.0119456  0.000971862  9.38351e-05  1.18098e-05  5.45934e-06
      3468.80    0.0302372    0.0118672  0.000971951  9.57855e-05  1.22661e-05  5.79485e-06
      3469.60    0.0301039    0.0117303  0.000978709  9.81089e-05  1.26737e-05  6.02514e-06
      3470.39    0.0301180    0.0116854  0.000988150  9.98985e-05  1.29620e-05  6.16457e-06
      3471.19    0.0301735    0.0117517  0.000997063  0.000100556  1.30549e-05  6.17969e-06
      3471.99    0.0299855    0.0118213   0.00100278  9.97524e-05  1.28670e-05  5.98895e-06
      3472.79    0.0299210    0.0118325  0.000992788  9.74153e-05  1.23892e-05  5.66500e-06
      3473.59    0.0300227    0.0118161  0.000974249  9.37671e-05  1.15348e-05  5.17204e-06
      3474.39    0.0301129    0.0118439  0.000960697  8.95936e-05  1.06455e-05  4.70884e-06
      3475.19    0.0301174    0.0119075  0.000956604  8.55072e-05  9.89117e-06  4.35018e-06
      3475.99    0.0300671    0.0119149  0.000957138  8.19867e-05  9.27292e-06  4.04628e-06
      3476.79    0.0299645    0.0119050  0.000960953  8.18151e-05  9.47111e-06  4.17832e-06
      3477.59    0.0296546    0.0117750  0.000967681  8.36652e-05  1.00829e-05  4.49750e-06
      3478.40    0.0292464    0.0116011  0.000973981  8.67681e-05  1.09036e-05  4.92692e-06
      3479.20    0.0288645    0.0114184  0.000978549  9.02300e-05  1.16838e-05  5.35573e-06
      3480.00    0.0286419    0.0112179  0.000982244  9.30696e-05  1.21404e-05  5.64442e-06
      3480.80    0.0287705    0.0112173  0.000983872  9.43650e-05  1.22306e-05  5.73269e-06
      3481.60    0.0290126    0.0112888  0.000983872  9.42340e-05  1.20569e-05  5.68412e-06
      3482.40    0.0290923    0.0113023  0.000982159  9.32245e-05  1.17387e-05  5.53900e-06
      3483.20    0.0289587    0.0112401  0.000979449  9.19034e-05  1.13923e-05  5.34952e-06
      3484.01    0.0287785    0.0111911  0.000977214  9.08421e-05  1.11264e-05  5.17711e-06
      3484.81    0.0289103    0.0111833  0.000979001  9.10130e-05  1.11085e-05  5.13161e-06
      3485.61    0.0292320    0.0112407  0.000983529  9.29568e-05  1.15678e-05  5.36059e-06
      3486.41    0.0295485    0.0114115  0.000990652  9.58566e-05  1.21782e-05  5.65604e-06
      3487.22    0.0297861    0.0116405  0.000998206  9.84896e-05  1.26837e-05  5.89403e-06
      3488.02    0.0299794    0.0117944   0.00100236  9.93314e-05  1.28843e-05  6.01494e-06
      3488.82    0.0302860    0.0119449  0.000996192  9.69035e-05  1.22871e-05  5.68401e-06
      3489.63    0.0304021    0.0119575  0.000986618  9.33805e-05  1.14449e-05  5.21560e-06
      3490.43    0.0303270    0.0119194  0.000977500  9.02495e-05  1.06448e-05  4.77911e-06
      3491.23    0.0301650    0.0118792  0.000970527  8.84355e-05  1.01135e-05  4.48870e-06
      3492.04    0.0301009    0.0118656  0.000966060  8.84419e-05  1.00318e-05  4.42346e-06
      3492.84    0.0304431    0.0119847  0.000965512  8.96134e-05  1.03847e-05  4.64539e-06
      3493.65    0.0306081    0.0120909  0.000970652  9.00748e-05  1.07662e-05  4.87523e-06
      3494.45    0.0305901    0.0120818  0.000974726  8.96003e-05  1.10364e-05  5.07873e-06
      3495.26    0.0304337    0.0119868  0.000973382  8.79499e-05  1.10877e-05  5.16145e-06
      3496.06    0.0302153    0.0119064  0.000964972  8.50833e-05  1.08578e-05  5.02820e-06
      3496.87    0.0299927    0.0119425  0.000962042  8.23959e-05  1.05223e-05  4.86504e-06
